length(cm),weight(g)
33.2,560.7
32.3,535.2
32.6,507.2
34.1,612.8
33.5,577.8
32.9,555.5
32.6,529.1
35.7,669.9
33.7,537.8
34.3,569
27.2,266.7
26.8,266.9
28,285
26.9,252.5
28,183.2
26,222.2
27.6,284
27,273.2
25.3,205.9
27.4,302.7
26.8,262.7
29,298.2
27.2,251.6
26.3,242.7
28.2,298.8
28,288.4
26.9,251.2
25.5,215.8
26.1,241.7
25.1,230.9
27.2,273.4
26,221.6
28,278.2
27.8,280.9
27.8,272.7
26.1,238.3
27.5,283.1
26.1,224.3
26.1,212.6
27.1,256.7
21.8,126.5
43.2,1248.7
43.5,1305.2
41,1098.3
42.1,1153
42.2,1241.6
41,1137.9
39.6,1009.5
39.9,1048.6
38.3,1000.3
40.9,1084.9
39.7,1007.2
42.7,1201.7
40.2,958.1
39,939.4
40.1,1024.4
39.2,1048.5
40.4,1048.1
42.2,1283.8
38.6,942.1
38.2,915.9
39.1,974
38.5,814.2
38.5,948.5
37.8,887.2
38.6,850.7
39.1,948.4
37.8,936.3
37.9,817.5
38.1,831.1
37.8,913.6
38.5,911.9
37.7,766.1
38.6,920.2
38.5,902.4
40.1,1017.6
40.1,1023.3
38.8,931.9
36.8,802.5
36,680.5
34.6,603.1
35.6,685.2
32.6,510.7
32.6,547.9
36.3,679.2
33.6,604.6
36,757.6
33.3,542.7
